,id_user,user_name,created_at,followers,following,text,text_stemmed,text_lemmatized
380,1173310984578064384,Yoga,2019-09-15 19:01:52,1014,756,"['wanna', 'know', 'skating', 'dying', 'sport', 'gatekeepers', 'zero', 'interest', 'letting', 'people', 'learn']","['wanna', 'know', 'skate', 'die', 'sport', 'gatekeep', 'zero', 'interest', 'let', 'peopl', 'learn']","['wanna', 'know', 'skating', 'dying', 'sport', 'gatekeeper', 'zero', 'interest', 'letting', 'people', 'learn']"
382,1173305983973482496,LivEchoLFC,2019-09-15 18:42:00,587515,551,"['longer', 'big', 'talking', 'point', 'lot', 'good', 'options']","['longer', 'big', 'talk', 'point', 'lot', 'good', 'option']","['longer', 'big', 'talking', 'point', 'lot', 'good', 'option']"
383,1173310974163656704,Laura ,2019-09-15 19:01:49,4347,3026,"['possibly', 'promenade', 'maybe', 'front', 'porch', 'near', 'co', 'op', 'also', 'seen', 'hooded', 'ram', 'sport', 'paid', 'attention', 'channel']","['possibl', 'promenad', 'mayb', 'front', 'porch', 'near', 'co', 'op', 'also', 'seen', 'hood', 'ram', 'sport', 'paid', 'attent', 'channel']","['possibly', 'promenade', 'maybe', 'front', 'porch', 'near', 'co', 'op', 'also', 'seen', 'hooded', 'ram', 'sport', 'paid', 'attention', 'channel']"
384,1173310973039521792,TheWesternSportsandSocial,2019-09-15 19:01:49,106,268,"['huge', 'week', 'sports', 'begins', 'villa', 'take']","['huge', 'week', 'sport', 'begin', 'villa', 'take']","['huge', 'week', 'sport', 'begin', 'villa', 'take']"
386,1172422311581896709,CurtisSport,2019-09-13 08:10:36,3518,2984,"['one', 'week', 'go', 'flux', 'speedway', 'grand', 'principality', 'stadium', 'order', 'official', 'via', 'website']","['one', 'week', 'go', 'flux', 'speedway', 'grand', 'princip', 'stadium', 'order', 'offici', 'via', 'websit']","['one', 'week', 'go', 'flux', 'speedway', 'grand', 'principality', 'stadium', 'order', 'official', 'via', 'website']"
387,1173310966714576902,mycompressionwear,2019-09-15 19:01:48,6,0,"['swim', 'sport', 'protective', 'knee', 'pads']","['swim', 'sport', 'protect', 'knee', 'pad']","['swim', 'sport', 'protective', 'knee', 'pad']"
389,1173310960599093248,Danny,2019-09-15 19:01:46,119,259,"['sport', 'actually', 'makes', 'happy']","['sport', 'actual', 'make', 'happi']","['sport', 'actually', 'make', 'happy']"
390,1173310947563319296, SCOTT*AT**THE*BEACH  *FOLLOWERS NOT ACCEPTED*,2019-09-15 19:01:43,0,40,"['going', 'week', 'buy', 'another', 'sport', 'rifle', 'thanks']","['go', 'week', 'buy', 'anoth', 'sport', 'rifl', 'thank']","['going', 'week', 'buy', 'another', 'sport', 'rifle', 'thanks']"
392,1173310938688172033,ig: cinnxmqn ,2019-09-15 19:01:41,2,3,"['try', 'sport', 'schools', 'sports', 'schools', 'force', 'one', 'playing', 'sports', 'fun', 'find', 'best', 'one']","['tri', 'sport', 'school', 'sport', 'school', 'forc', 'one', 'play', 'sport', 'fun', 'find', 'best', 'one']","['try', 'sport', 'school', 'sport', 'school', 'force', 'one', 'playing', 'sport', 'fun', 'find', 'best', 'one']"
393,1173310936758620160,don,2019-09-15 19:01:41,87,138,"['make', 'kart', 'official', 'sport', 'sign', 'petition', 'get', 'discount', 'next', 'purchase', 'shack']","['make', 'kart', 'offici', 'sport', 'sign', 'petit', 'get', 'discount', 'next', 'purchas', 'shack']","['make', 'kart', 'official', 'sport', 'sign', 'petition', 'get', 'discount', 'next', 'purchase', 'shack']"
