id_user,user_name,created_at,followers,following,text
1173312497245478913,Leigh cobley,2019-09-15 19:07:53,103,120,biggest genius in sport along with federer https://t.co/OApo5RPeg6
1126804099083665408,standardsport,2019-05-10 11:00:06,35543,792,"David Luiz desperate to stop Arsenal qualifying for Champions League

✍ @sjstandardsport https://t.co/Tubwtce4Xb"
1173312488500187136,Frank Risco,2019-09-15 19:07:51,49,204,"@racetrackandy Jerry will be redeemed! It's beginning to look more and more that  Cali racing has double standards for individuals. Miss Charlie Wittingham,Bobby Frankel those guys would make sure , or the very least claim foul and injustice to all the crap happening in our sport"
1173197821878644737,AdamSchefter,2019-09-15 11:32:12,7507957,3031,"End of an error: today will be the final time the Raiders play a home game with a baseball diamond still visible on the field at RingCentral Coliseum, which is the last dual-sport stadium in the NFL."
1172982353133805576,Ffs_OMG,2019-09-14 21:16:00,351936,1239,It should be a new olympic sport 😀https://t.co/b1Ij6XTWAl
1173284043061964801,GaryLineker,2019-09-15 17:14:49,7359736,1055,"Yes! @englandcricket win the final test match. Well played and thank you for a wonderfully entertaining summer, including 2 of the most memorable sporting days in the history of the sport. 👏🏻👏🏻"
1173311964354875393,MFDMND,2019-09-15 19:05:46,1821,891,Twitter covering live sport scores was genius
1173312477506891776,Go Hawks Go Cougs!🌈🏳️‍🌈,2019-09-15 19:07:48,418,1637,@RexChapman Is this the new Winter Olympic sport of full contact slalom?
1173312470406111232,Kris,2019-09-15 19:07:46,210,1157,@VivaYids ? It’s a sport
1126804099083665408,standardsport,2019-05-10 11:00:06,35543,792,"David Luiz desperate to stop Arsenal qualifying for Champions League

✍ @sjstandardsport https://t.co/Tubwtce4Xb"
1173230848205893634,Jayde9997,2019-09-15 13:43:26,90,155,Just want to wish a huge Happy 30th Birthday to my bros @Padromi and @Cramordap! Wishing you guys nothing but the best as we grow old together. 😁 Thanks for introducing me to the wonderful and stressful sport that is soccer! https://t.co/eIbcHSXxsD
1173308380695412737,Mayo4Mz,2019-09-15 18:51:31,14302,13434,What is your Favorite Sport?
1173284043061964801,GaryLineker,2019-09-15 17:14:49,7359736,1055,"Yes! @englandcricket win the final test match. Well played and thank you for a wonderfully entertaining summer, including 2 of the most memorable sporting days in the history of the sport. 👏🏻👏🏻"
1173312456330010626,Sports | Newton Prep,2019-09-15 19:07:43,201,382,First @gym_run challenges for year 3-6 complete. Awesome effort and lots of progress. #physicalhealth #bluebyeleven https://t.co/HrYN0O88BY
1173307997260378112,ManCityMEN,2019-09-15 18:50:00,111067,341,"Man City fan makes ridiculous Jurgen Klopp claim after Norwich defeat #mcfc #lfc

https://t.co/OXCxWhNZqM"
1173304083274489856,Matthew_Hodson,2019-09-15 18:34:27,13469,6056,"Although it is terrible that Gareth Thomas was forced to share the knowledge of his #HIV status with world, the benefit is the discussion that has been had, and the information shared, not least that effective treatment means we #CantPassItOn.
#UequalsU 
https://t.co/iPHU8iTpHR https://t.co/VgVSnFspaD"
1173312444695011328,⚽️Freebigbets,2019-09-15 19:07:40,22783,16277,Arsenal midfielder Matteo Guendouzi has learned the true meaning of the proverb 'it's not over until the fat lady sings' after he prematurely gloated to Watford fans on Sunday afternoon. https://t.co/aLuWuVymiS https://t.co/ItSi6T4HgS
1173312442912444417,Jase,2019-09-15 19:07:40,1619,1277,Full piece https://t.co/gGbcnB6RXq
1173307286019870722,BBCHorseRacing,2019-09-15 18:47:10,514,91,McCoy rides winner on return to saddle while Search For A Song wins Irish St Ledger https://t.co/HJ8WPqIKEv via @circleboom
1173312435622748161,sniktaw enirehtac,2019-09-15 19:07:38,90,96,I admire all of the women who understand football. I'm a lost girl this time of year in a family full of people who love and understand this sport. Im just out here waiting on Real Housewives to come on..
1173312430253981697,NENASWEETZ,2019-09-15 19:07:37,5,24,This should be the same kind of blow out like wk1! But i know there are expectations from every angle. But. This is a team sport. Not 1game dedicated to this player to👀what he can do. This is a DISCIPLINED football team. Especially on the field. Damn these flags!  #NEvsMIA
1173312428370726912,daz medcalf,2019-09-15 19:07:36,22,239,@footierotvilla @liamcameron21 @curtiswoodhous8 @PaddyTheBaddy Both mma an boxing are brutal sports but for paddy to say that mma is the realist fighting sport there is shows what a helmet he is
1173310516086935553,BBCSport,2019-09-15 19:00:00,8015185,315,"Granit Xhaka admits #Arsenal ""were too scared"" against Watford.

Will Gunners fans be just as scared to read this? 
👉 https://t.co/FWrEkNCdPm #WATARS https://t.co/tj3INQokot"
1173312410742116354,T Finn-Kelcey,2019-09-15 19:07:32,352,189,“Quite a few of the starting XV have got a track record of losing it in a game when under pressure”- Clive is talking to you @owen_faz @Mako_Vunipola @KyleSinckler @maroitoje - we are all rooting for you but gotta try &amp; keep those heads cool fellas. https://t.co/BBGPW1gJXh
1173287025874821120,BBCBreaking,2019-09-15 17:26:40,40584438,3,England win final Test at the Oval by 135 runs to draw Ashes series 2-2; Australia retain the urn https://t.co/nhio63uCfg
1173284043061964801,GaryLineker,2019-09-15 17:14:49,7359736,1055,"Yes! @englandcricket win the final test match. Well played and thank you for a wonderfully entertaining summer, including 2 of the most memorable sporting days in the history of the sport. 👏🏻👏🏻"
1173131087133822976,minhtngo,2019-09-15 07:07:01,36073,14264,"Today is #InternationalDayofDemocracy.

The 2019 theme - 'Inclusion &amp; Participation' - is a reminder that democracy is NOT a spectator sport. It's participatory!

Rise up, America. The time is now.

#SOSAmerica2019
#VigilForDemocracy
#WeThePeopleMarch 

https://t.co/T9eqygihhA"
1173052407984480256,CoachKurtHines,2019-09-15 01:54:22,38627,4443,"10 🔑’s to a long (and successful), career as a coach:

1.  A strong why
2.  Willingness to listen
3.  Desire to learn
4.  Passion to empower
5.  Ability to connect
6.  Great communication skills 
7.  Thick skin
8.  Sense of humor
9.  Heart
10.  Balance (family/sport)"
1173312380664721408,Olasubomi Olotu,2019-09-15 19:07:25,11,104,"@tvcnewsng You guys are the best, but how I wish you guys can go to sport as well and our own Naija company."
1173312375312834562,We Support Horse Racing,2019-09-15 19:07:24,107,155,"Out in full force, so HONK if you love horse racing! 

If you’re at @losalracing today, be sure to show some support to these fearless fans standing up for the sport! It takes a village... https://t.co/DWVOT36Yvu"
1173259666203336706,TV_WHITES,2019-09-15 15:37:57,1230,364,Football fans left bloodied in violence at Barnsley vs Leeds https://t.co/Y8E0fihuMw
1173312372552998913,North Wales Pioneer,2019-09-15 19:07:23,9712,643,"A good weekend for the majority of our sides in FAW Trophy action.

https://t.co/0M2zWrVT7u"
1126804099083665408,standardsport,2019-05-10 11:00:06,35543,792,"David Luiz desperate to stop Arsenal qualifying for Champions League

✍ @sjstandardsport https://t.co/Tubwtce4Xb"
1173295205958729728,BritishGT,2019-09-15 17:59:10,33381,1510,"Appeal dismissed: Graham Davidson and Jonny Adam are 2019 #BritishGT CHAMPIONS!

It's Jonny's fourth title in five years - all of them with Aston Martin - and fourth with as many different co-drivers. It's also his second with TF Sport.

#DoningtonDecided 🏆 https://t.co/Y2Xf3wzF2L"
1126804099083665408,standardsport,2019-05-10 11:00:06,35543,792,"David Luiz desperate to stop Arsenal qualifying for Champions League

✍ @sjstandardsport https://t.co/Tubwtce4Xb"
1171616863874363392,phumzileunwomen,2019-09-11 02:50:02,97647,1435,"All women should be able to freely and equally participate in communal activities in society, including sport. This news is horrific and deeply saddening. #SaharKhodayari #BlueGirl via @BBC 
https://t.co/c2bLhBoB0b"
1173312154000351232,e_lynx,2019-09-15 19:06:31,417,280,"Hey poledancers, why can't we go to the ""performing arts"" category on twitch?

I feel like you should know better about the representation of this sport. At the same time you're streaming in the same category where ""tier 3 subs get private sc"". And we wonder why the stigma."
1173068996167569408,charts_k,2019-09-15 03:00:17,6021,276,"Yang Yebin, a rising star athlete, says someone like her could make others interested/get into track &amp; field. She will work harder so the sport gets more attention, and also ""to climb to the top, and meet @BTS_twt!""

#PCAs #TheMusicVideo #BoyWithLuv

https://t.co/7MyClZVu3G"
1173312346988527616,Ⓜ️EME CARTEL 🤣,2019-09-15 19:07:17,3482,6656,"This is me everyday. #28

Read more: https://t.co/Ft0ZwFTYal

#funny #meme #facts #news #viral #trending #fortnite #F #breaking #gaming #sport #crime #food #dankmeme https://t.co/2LvKyj5YEv"
1173308083772301312,VeeAlmighty,2019-09-15 18:50:20,1302,1208,Soccer is probably the most watched sport everywhere else except the states. https://t.co/oCy4k0hYib
1173312340906975232,Alan Blake,2019-09-15 19:07:15,28,165,"Farewell summer of sport 2019, you really were one for the ages | Sean Ingle https://t.co/FVs6A0F4Np"
1173312338314706944,Douglas C Perera,2019-09-15 19:07:15,2340,3209,@RaphaelTiriel @slater_rose @JeffMiles8 @smc429 @RichardASalas3 @TimbosRoses1 @sukilau @ReSista_Barb @tak_twitt @VJMehia @westernmainecc1 Just so long as people are not into offending people just to offend people I can live with less PC. When people start offending people for sport they will lose my support.
1173270431773708288,asadfitness40,2019-09-15 16:20:43,6,104,"@realshoaibmalik @ibleedgreenorg Pakistan's first athlete to qualify for the Olympics, a tremendous effort, disciplined performance, many more honours to come inshalla and good times for Pakistani Sport!"
1173277267415506944,RyanFordBoxing,2019-09-15 16:47:53,4443,340,"It Is What It Is. Back On The Grind On 2 The Next. I’m Ready 2 Fight 

The Sport Of Boxing Is Corrupt But It’s 
Not Gonna Stop Me From Doing What I Love &amp; Providing For My Family ✊🏾💯 @BBBofC2809 @WBABoxing @MannyMtl  @jessy_thompson @ReidWilkins #Boxing  #TeamRealDeal #TeamFord https://t.co/ogzH0L34L7"
1173274514521808897,glasgowtigers,2019-09-15 16:36:57,21509,16871,"📺How can you not love this sport? 🤯🤯🤯

One of heats of the season last night as @CraigCook111 pips Danny King on the line to secure a 5-1 for Glasgow with @Rasser_Racing.

What a race!

#WeAreGlasgow🔴⚪

🎧 - @LukeLaVolpe https://t.co/hOKJmG2jmp"
1173312331901652992,Brendan Lock #⃣7⃣5⃣✊,2019-09-15 19:07:13,62,131,@cmail_sport @BuzzRothfield Has a lot to do with the ability of the coach as well has a good roster and couldn’t get them to play for him
1173312323555069952,James,2019-09-15 19:07:11,11,19,"Check out this product 😍 ROCKBROS Sport Photochromic Polarized Glasses Cycling Eyewear  MTB Bike Bicycle Riding Fishing  Sunglasses 😍 
by eprolo starting at $37.64. 
Show now 👉👉 https://t.co/QnJ2ZoMrGa https://t.co/CUgFGcYVKJ"
1173227093825642497,NicolaSturgeon,2019-09-15 13:28:31,996233,4683,That feeling when one of your all time tennis heroes gets to see just how rubbish you are at the sport 🤦‍♀️ (PS @Martina now you know why I laughed when you asked me if I had ever played 😂) https://t.co/ad8SZvFrYu
1173308083772301312,VeeAlmighty,2019-09-15 18:50:20,1302,1208,Soccer is probably the most watched sport everywhere else except the states. https://t.co/oCy4k0hYib
1173312322741272576,S. Jackson,2019-09-15 19:07:11,331,457,@liselm17 Nope. That scumbag franchise has slowly killed my love for the sport.
1173308261858250753,ccoleman61,2019-09-15 18:51:03,146,102,"Mark Sampson tells me “the allegation is untrue” after what has been a difficult week for the Stevenage caretaker boss @MailOnline 

https://t.co/N7wGzcK8ZM"
1173312320472326146,Alex ‘Slayz’ G.,2019-09-15 19:07:10,236,195,"Technical sport and athleisure apparel, you must see! https://t.co/NoRL0aD85j 6029812"
1173311897057185798,TheHinduSports,2019-09-15 19:05:29,39990,259,"#Ashes | #England crushed Australia by 135 runs in the fifth and final Test. The Ashes ends in a draw for the first time since 1972, although holders Australia retain the #urn.
https://t.co/go5NpJGNBo"
1173312306194853889,LeinsterExpressSport,2019-09-15 19:07:07,6358,1073,"David Aston with his fifth point of the half has Killeshin in a commanding five-point lead

Ballylinan 0-2 Killeshin 0-7, 32 mins #LaoisSFC"
1173312304290717698,Dean Jones,2019-09-15 19:07:07,1899,549,"Good weekends for @LlandudnoAlbion, @LLANRWSTUTD_FC and @LlandudnoAfc in the FAW Trophy, with @GlanConwyFc bowing out at Gaerwen.

Round-up for @NWPioneer: https://t.co/GFd2pOyZzY"
1173312300297666561,Rhys,2019-09-15 19:07:06,29,39,@Kid1i I don’t think football is the sport for you...
1173312164733472768,todayng,2019-09-15 19:06:33,149414,0,Alex Iwobi: Being ‘very comfortable’ at Arsenal helped lead to Everton move https://t.co/mwKT57TEZm
1173274514521808897,glasgowtigers,2019-09-15 16:36:57,21509,16871,"📺How can you not love this sport? 🤯🤯🤯

One of heats of the season last night as @CraigCook111 pips Danny King on the line to secure a 5-1 for Glasgow with @Rasser_Racing.

What a race!

#WeAreGlasgow🔴⚪

🎧 - @LukeLaVolpe https://t.co/hOKJmG2jmp"
1173312284074160129,heavypress 🌹,2019-09-15 19:07:02,76,775,"@VanDrunkSuika Gordeau gets really sassy about the “no shoes, no shirt, no service” policy, but reluctantly just buttons up the jacket. Charlotte’s had better but is a good sport about it, being a friend to commoners and all. Sophitia orders a pricy lamb dish and then apologizes."
1173091687503151104,BenStinar,2019-09-15 04:30:27,15892,14023,"That’s an average salary of $49.4 million per year. 

Basketball is the sport to play. https://t.co/W3ymhnIGml"
1173295102313340930,LivEchoLFC,2019-09-15 17:58:45,587515,551,"“You always look at those type of players that set standards on the pitch. They are willing to make the first tackle and things like that. He is always the one. He doesn’t look to anyone else to do that.”

A long read on James Milner.

https://t.co/IiZvygxYlj"
1173312275811201024,Man United News,2019-09-15 19:07:00,248724,313,So far so good. #mufc https://t.co/W3P6XQWVs2
1173312270648127488,Melinda Howard,2019-09-15 19:06:59,10522,8563,@Whiffenpuff @runreigate YAY for race volunteers 💕Our sport wouldn’t be possible without the amazing volunteers!!!
1126804099083665408,standardsport,2019-05-10 11:00:06,35543,792,"David Luiz desperate to stop Arsenal qualifying for Champions League

✍ @sjstandardsport https://t.co/Tubwtce4Xb"
1173312250469396481,Cameron McLay,2019-09-15 19:06:54,1426,250,"Sport. Unrivalled. 

 https://t.co/3L3LfV6pQP"
1173312249915740160,Sir Ruiz Hauser Fitzgerald,2019-09-15 19:06:54,236,775,@petera1872 @an_elegant_mess @MichaelBensonn @Metro_Sport Well be done with it then. In future if you want to become a boxer just start a YouTube channel stream FIFA and call out other YouTubers
1173123748398018561,WalesRugby,2019-09-15 06:37:51,55362,992,"Wales rugby team send message of support to former captain Gareth Thomas after he revealed HIV diagnosis

https://t.co/6C9hRhM5ib"
1173197821878644737,AdamSchefter,2019-09-15 11:32:12,7507957,3031,"End of an error: today will be the final time the Raiders play a home game with a baseball diamond still visible on the field at RingCentral Coliseum, which is the last dual-sport stadium in the NFL."
1173275654055485448,kings_sport,2019-09-15 16:41:28,512,32,"A great day @cheltladiescoll #NSEA showjumping qualifiers with all @kings_sport riders performing superbly, representing in 3/4 of the classes.@KingsWorcester are very proud of you all #KingsSport Thanks Miss Ormandy for the updates  #DiscoverYourPassion https://t.co/1vW1I5lxVm"
1172849980081442817,BBCSport,2019-09-14 12:30:00,8015185,315,"Royston Drenthe was once playing for Real Madrid.

Now he's playing in the Dutch third tier.

But he has no regrets about his career.

Read: https://t.co/yegvsgayWU https://t.co/QIRgSD2V6O"
1173308083772301312,VeeAlmighty,2019-09-15 18:50:20,1302,1208,Soccer is probably the most watched sport everywhere else except the states. https://t.co/oCy4k0hYib
1173312197574963200,Times Sport,2019-09-15 19:06:41,119829,120,"Watford's tenacious, spiky fightback earned them a point against Arsenal and they could even have won it - unimaginable when Arsenal led 2-0, writes @garyjacob #WATARS  https://t.co/qi9mT8lJ58"
1172467105213669376,PennGirlsSoccer,2019-09-13 11:08:35,708,72,"Great article on a special Penn student-athlete! 📚⚽️🏌️‍♀️

 https://t.co/hj7YnEpK7U"
1173312193594441728,Doubtful,2019-09-15 19:06:40,82,356,"Especially given how poorly they're maintaining the clubs around Long Beach, and dropping towel service in the super sport clubs. Dunno where all this money is going, but it isn't into the clubs."
1172944631744491520,_ambelena_,2019-09-14 18:46:07,330,282,"I mean... She is really very good in each kind of sport activity! Perfect match to Baris! Partners goal)

#BurcuBiricik #Kuzgun #HayatSarkisi https://t.co/S7qvxEROhP"
1173310516086935553,BBCSport,2019-09-15 19:00:00,8015185,315,"Granit Xhaka admits #Arsenal ""were too scared"" against Watford.

Will Gunners fans be just as scared to read this? 
👉 https://t.co/FWrEkNCdPm #WATARS https://t.co/tj3INQokot"
1169372980041977856,arabnews,2019-09-04 22:13:38,193995,43,"#VIDEO: Watch our full interview with heavyweight #boxing champion Andy Ruiz (@Andy_destroyer1) ahead of the much anticipated rematch against @anthonyfjoshua in Saudi Arabia

https://t.co/hwIgL06U7q https://t.co/W6MOeVQKYx"
1173312164733472768,TODAY,2019-09-15 19:06:33,149414,0,Alex Iwobi: Being ‘very comfortable’ at Arsenal helped lead to Everton move https://t.co/mwKT57TEZm
1173312162585927680,K’Lalala,2019-09-15 19:06:33,459,767,@sport_oh It is!
1173303677957890048,chandler_colin,2019-09-15 18:32:50,8449,9064,PLEASE THE WORLD'S OF GOLF AND SPORT AND MUSIC WISH ME LUCK FOR TOMORROW MY THIRD GOLF COMPETITION AT SAND MARTIN'S GOLF CLUB @KGolf63 @mickfitzg @BeckyHarges1 @KsKaniac @CodiePrevostUK @ReadingGuide @MikeReadUK @JOXSports @JessieLynnJL @EdHarrisMusic @LukeDonald @MarcWarrenGolf https://t.co/Y6PVvuFIE8
1173312154000351232,E_Lynx ⌨️🖱️🤸‍♀️🖌️,2019-09-15 19:06:31,417,280,"Hey poledancers, why can't we go to the ""performing arts"" category on twitch?

I feel like you should know better about the representation of this sport. At the same time you're streaming in the same category where ""tier 3 subs get private sc"". And we wonder why the stigma."
1173312149923536897,BobCarter,2019-09-15 19:06:30,3221,3248,Solheim Cup 2019: Europe beat USA 14½-13½ to win at Gleneagles ++ 🏌️‍♀️ BC  https://t.co/jw9xKajwg5
1173312145485729792,John Pollock,2019-09-15 19:06:29,1625,1769,"https://t.co/OMk065jck6 via @smh

England did not really win the third test, in spite of fairy tales from journos. Joel Wilson gave it to them."
1173278866141523968,jane_mangan,2019-09-15 16:54:14,6987,665,There are lots of things wrong in the world but today everything was right. Racing can be very proud. What a wonderful sport 🐎 ☘️
1173300447840526336,BBCSport,2019-09-15 18:20:00,8015185,315,"A tale of two comebacks for #watfordfc - one from the players... and one from the manager. 

Read all about 
👉 https://t.co/pk6Yr2q3eY #WATARS https://t.co/6qTepnol6J"
1173312141098725376,Alan Lee Travis,2019-09-15 19:06:28,312,103,"Successful show this past afternoon in front of packed crowd in Brentwood, was a pleasure having a technical bout with Johnny Kidd 🇬🇧 #britishwrestling #ukwrestling #sport @LDNwrestling https://t.co/BRIdK5dLM4"
1173312106231422976,jim_username,2019-09-15 19:06:19,50,213,Bryant retires from the sport if this happens to him
1173312135469981696,Ike,2019-09-15 19:06:26,111,500,@AdamSchefter There are 4 teams that will still have dual sports.... 5 next year when Chicago is a dual sport stadium again.
1126804099083665408,standardsport,2019-05-10 11:00:06,35543,792,"David Luiz desperate to stop Arsenal qualifying for Champions League

✍ @sjstandardsport https://t.co/Tubwtce4Xb"
1173312118260666369,⚽️ Football News,2019-09-15 19:06:22,55218,27897,"Live #Scores Deportivo Toluca FC v CA Monarcas Morelia - 15/09/19 ⇔ Finished Matches Results ⇔ Standings - Inside Wales Sport
#FuerzaMonarca 🇲🇽 #Liga_MX 
https://t.co/UG0CXgrCF5"
1173312106231422976,zambonidriver3,2019-09-15 19:06:19,50,213,Bryant retires from the sport if this happens to him
1173312102817308672,Alex Oyston,2019-09-15 19:06:19,299,875,@Vijay_H @piersmorgan @BeefyBotham @David215Gower BT Sport tried the ashes last time out in Australia. The coverage was honking.
1173227093825642497,NicolaSturgeon,2019-09-15 13:28:31,996233,4683,That feeling when one of your all time tennis heroes gets to see just how rubbish you are at the sport 🤦‍♀️ (PS @Martina now you know why I laughed when you asked me if I had ever played 😂) https://t.co/ad8SZvFrYu
1173052407984480256,CoachKurtHines,2019-09-15 01:54:22,38627,4443,"10 🔑’s to a long (and successful), career as a coach:

1.  A strong why
2.  Willingness to listen
3.  Desire to learn
4.  Passion to empower
5.  Ability to connect
6.  Great communication skills 
7.  Thick skin
8.  Sense of humor
9.  Heart
10.  Balance (family/sport)"
1173311772926734336,LivEchoLFC,2019-09-15 19:05:00,587515,551,"Meet the man who was the last #LFC fan to stand on the Spion Kop

✍️ @dankay

https://t.co/DA45Y2MMfX"
